date,event,unit,location,notes
2026-10-03,Cau d'Inici de Curs 2026-2027,Tot el grup,Casal Escolta,Acollida de noves famílies i presentació de caps
2026-10-10,Primer Cau d'Unitats,Totes les unitats,Casal Escolta,Jocs de cohesió i tria de nom de patrulles
2026-10-17,Acampada de Curs (Dia 1),Tot el grup,Son Amer (Escorca),Sortida amb autocar des de Palma (8:30h)
2026-10-18,Acampada de Curs (Dia 2),Tot el grup,Son Amer (Escorca),Taller de nusos i promeses escoltes
2026-10-24,Excursió de Castellers i Natura,Esquirols i Rangers,Comuna de Bunyola,Ruta de 8km desivell +250m
2026-10-31,Taller de Tots Sants i Castanyada,Tot el grup,Casal Escolta,Preparació de ruixats i tradicions
2026-11-07,Cau i Taller de Primers Auxilis,Pioners i Rovers,Casal Escolta,Formació de seguretat en muntanya i primers auxilis
2026-11-14,Excursió Puig de Galatzó,Rangers i Pioners,Puigpunyent,Ruta tècnica Serra de Tramuntana (T-15 permís revisat)
2026-11-21,Cau Regular i Assemblea de Parets,Tot el grup,Casal Escolta,Reunió informativa amb les famílies
2026-11-28,Servei Comunitari Neteja de Litoral,Rovers i Caps,Cala Blava,Acció ecològica i conservació mediambiental
2026-12-05,Sortida de Desembre a Tossals Verds,Pioners,Tossals Verds,Refugi IBANAT i taller d'orientació amb mapa i brúixola
2026-12-12,Cau de Nadal i Intercanvi de Postals,Tot el grup,Casal Escolta,Preparació de la campanya de Nadal
2026-12-19,Campament d'Hivern (Dia 1),Tot el grup,Campament La Victòria (Alcúdia),Autocar i instal·lació de tendes
2026-12-20,Campament d'Hivern (Dia 2),Tot el grup,Campament La Victòria (Alcúdia),Activitats de grup i velada de foc de camp
2026-12-21,Campament d'Hivern (Dia 3),Tot el grup,Campament La Victòria (Alcúdia),Cloenda del campament d'hivern i retorn
